trackID,genre
8424,metal
7923,folk
2314,folk
810,jazz and blues
439,folk
821,soul and reggae
1943,classic pop and rock
6667,classic pop and rock
5893,classic pop and rock
6414,soul and reggae
4497,classic pop and rock
7028,punk
4297,dance and electronica
4059,classic pop and rock
5335,classic pop and rock
3494,punk
960,pop
8111,soul and reggae
7985,folk
5049,classic pop and rock
7027,classic pop and rock
4171,pop
2155,soul and reggae
4493,classic pop and rock
7560,soul and reggae
7083,classic pop and rock
3699,folk
4102,metal
6597,punk
3359,classic pop and rock
931,punk
4768,folk
6645,metal
6232,soul and reggae
431,classic pop and rock
3996,classic pop and rock
4678,punk
2640,folk
239,metal
4882,folk
1658,punk
3967,classic pop and rock
6649,classic pop and rock
6160,folk
7819,metal
8108,dance and electronica
4159,classic pop and rock
2012,soul and reggae
5931,soul and reggae
1619,folk
7389,pop
5073,soul and reggae
1910,pop
7834,punk
3236,classic pop and rock
1657,metal
752,metal
7936,classic pop and rock
2134,metal
1172,classic pop and rock
5774,classic pop and rock
7591,pop
3020,metal
8245,metal
5946,punk
6939,classic pop and rock
2675,classic pop and rock
8045,metal
4454,classic pop and rock
2570,pop
1662,classic pop and rock
6879,punk
8402,folk
6060,punk
784,folk
408,folk
6573,dance and electronica
6336,punk
7779,folk
7545,folk
8183,dance and electronica
7910,jazz and blues
1089,folk
6808,folk
4953,classic pop and rock
2404,folk
5460,metal
521,folk
3241,pop
8444,folk
1242,classic pop and rock
2620,dance and electronica
1438,dance and electronica
5173,classic pop and rock
4303,soul and reggae
1032,classic pop and rock
2543,folk
2391,metal
8174,classic pop and rock
109,folk
1163,folk
1050,dance and electronica
7310,folk
20,punk
7100,soul and reggae
5120,punk
5516,folk
4801,metal
7704,soul and reggae
1568,metal
2693,punk
7065,soul and reggae
4980,soul and reggae
1334,pop
174,folk
6169,metal
586,classic pop and rock
4390,soul and reggae
5901,folk
5476,folk
1879,classic pop and rock
999,pop
5786,jazz and blues
7432,pop
4562,punk
7859,metal
3260,dance and electronica
3101,folk
57,folk
2272,metal
1731,dance and electronica
2565,punk
142,pop
351,dance and electronica
5839,classic pop and rock
4752,folk
3141,metal
4205,punk
4765,metal
2754,punk
7974,metal
3793,pop
8237,dance and electronica
3058,folk
8252,classic pop and rock
5402,folk
947,folk
6588,classic pop and rock
3443,punk
4256,soul and reggae
3640,jazz and blues
4268,folk
4653,classic pop and rock
1450,folk
87,dance and electronica
524,dance and electronica
777,dance and electronica
1176,classic pop and rock
3249,classic pop and rock
98,pop
7449,punk
